id,sciName (Clements/eBird/ML),comNameEn (Clements/eBird/ML),code (Clements/eBird/ML),sciName (IOC),comNameEn (IOC),comNameDe (IOC/DOG),sciName (GBIF),class (GBIF),order (GBIF),sciNameSynonyms
16675,Thamnophilus ambiguus,Sooretama Slaty-Antshrike,soosla1,Thamnophilus ambiguus,Sooretama Slaty Antshrike,Sooretamaameisenwürger,Thamnophilus ambiguus,Aves,Passeriformes,['Thamnophilus ambiguus']
16676,Thamnophilus aroyae,Upland Antshrike,uplant1,Thamnophilus aroyae,Upland Antshrike,Hochland-Ameisenwürger,Thamnophilus aroyae,Aves,Passeriformes,['Thamnophilus aroyae']
16677,Thamnophilus atrinucha,Black-crowned Antshrike,wesant1,Thamnophilus atrinucha,Black-crowned Antshrike,Kolumbienameisenwürger,Thamnophilus atrinucha,Aves,Passeriformes,['Thamnophilus atrinucha']
16678,Thamnophilus bernardi,Collared Antshrike,colant1,Thamnophilus bernardi,Collared Antshrike,Fleckengesicht-Ameisenwürger,Thamnophilus bernardi,Aves,Passeriformes,['Thamnophilus bernardi']
16679,Thamnophilus bridgesi,Black-hooded Antshrike,blhant2,Thamnophilus bridgesi,Black-hooded Antshrike,Kapuzenameisenwürger,Thamnophilus bridgesi,Aves,Passeriformes,['Thamnophilus bridgesi']
16680,Thamnophilus caerulescens,Variable Antshrike,varant1,Thamnophilus caerulescens,Variable Antshrike,Wechselameisenwürger,Thamnophilus caerulescens,Aves,Passeriformes,['Thamnophilus caerulescens']
16681,Thamnophilus cryptoleucus,Castelnau's Antshrike,casant1,Thamnophilus cryptoleucus,Castelnau's Antshrike,Flussufer-Ameisenwürger,Thamnophilus cryptoleucus,Aves,Passeriformes,['Thamnophilus cryptoleucus']
16682,Thamnophilus divisorius,Acre Antshrike,acrant1,Thamnophilus divisorius,Acre Antshrike,Divisorameisenwürger,Thamnophilus divisorius,Aves,Passeriformes,['Thamnophilus divisorius']
16683,Thamnophilus doliatus,Barred Antshrike,barant1,Thamnophilus doliatus,Barred Antshrike,Bindenameisenwürger,Thamnophilus doliatus,Aves,Passeriformes,['Thamnophilus doliatus']
16684,Thamnophilus insignis,Streak-backed Antshrike,stbant1,Thamnophilus insignis,Streak-backed Antshrike,Tepuiameisenwürger,Thamnophilus insignis,Aves,Passeriformes,['Thamnophilus insignis']
16685,Thamnophilus melanonotus,Black-backed Antshrike,blbant1,Thamnophilus melanonotus,Black-backed Antshrike,Schwarzweiß-Ameisenwürger,Thamnophilus melanonotus,Aves,Passeriformes,['Thamnophilus melanonotus']
16686,Thamnophilus melanothorax,Band-tailed Antshrike,batant2,Thamnophilus melanothorax,Band-tailed Antshrike,Schulterflecken-Ameisenwürger,Thamnophilus melanothorax,Aves,Passeriformes,['Thamnophilus melanothorax']
16687,Thamnophilus multistriatus,Bar-crested Antshrike,bacant2,Thamnophilus multistriatus,Bar-crested Antshrike,Streifenameisenwürger,Thamnophilus multistriatus,Aves,Passeriformes,['Thamnophilus multistriatus']
16688,Thamnophilus murinus,Mouse-colored Antshrike,mocant1,Thamnophilus murinus,Mouse-colored Antshrike,Braunflügel-Ameisenwürger,Thamnophilus murinus,Aves,Passeriformes,['Thamnophilus murinus']
16689,Thamnophilus nigriceps,Black Antshrike,blaant1,Thamnophilus nigriceps,Black Antshrike,Schwarzameisenwürger,Thamnophilus nigriceps,Aves,Passeriformes,['Thamnophilus nigriceps']
16690,Thamnophilus nigrocinereus,Blackish-gray Antshrike,blgant2,Thamnophilus nigrocinereus,Blackish-grey Antshrike,Schwarzgrau-Ameisenwürger,Thamnophilus nigrocinereus,Aves,Passeriformes,['Thamnophilus nigrocinereus']
16691,Thamnophilus palliatus,Chestnut-backed Antshrike,chbant2,Thamnophilus palliatus,Chestnut-backed Antshrike,Dunkelmantel-Ameisenwürger,Thamnophilus palliatus,Aves,Passeriformes,['Thamnophilus palliatus']
16692,Thamnophilus pelzelni,Planalto Slaty-Antshrike,plasla1,Thamnophilus pelzelni,Planalto Slaty Antshrike,Planaltoameisenwürger,Thamnophilus pelzelni,Aves,Passeriformes,['Thamnophilus pelzelni']
16693,Thamnophilus praecox,Cocha Antshrike,cocant1,Thamnophilus praecox,Cocha Antshrike,Napoameisenwürger,Thamnophilus praecox,Aves,Passeriformes,['Thamnophilus praecox']
16694,Thamnophilus punctatus,Northern Slaty-Antshrike,norsla1,Thamnophilus punctatus,Northern Slaty Antshrike,Guayanaameisenwürger,Thamnophilus punctatus,Aves,Passeriformes,['Thamnophilus punctatus']
16695,Thamnophilus ruficapillus,Rufous-capped Antshrike,rucant1,Thamnophilus ruficapillus,Rufous-capped Antshrike,Rostscheitel-Ameisenwürger,Thamnophilus ruficapillus,Aves,Passeriformes,['Thamnophilus ruficapillus']
16696,Thamnophilus schistaceus,Plain-winged Antshrike,plwant1,Thamnophilus schistaceus,Plain-winged Antshrike,Schieferameisenwürger,Thamnophilus schistaceus,Aves,Passeriformes,['Thamnophilus schistaceus']
16697,Thamnophilus stictocephalus,Natterer's Slaty-Antshrike,natsla1,Thamnophilus stictocephalus,Natterer's Slaty Antshrike,Tapajósameisenwürger,Thamnophilus stictocephalus,Aves,Passeriformes,['Thamnophilus stictocephalus']
16698,Thamnophilus sticturus,Bolivian Slaty-Antshrike,bolsla1,Thamnophilus sticturus,Bolivian Slaty Antshrike,Bolivienameisenwürger,Thamnophilus sticturus,Aves,Passeriformes,['Thamnophilus sticturus']
16699,Thamnophilus tenuepunctatus,Lined Antshrike,linant1,Thamnophilus tenuepunctatus,Lined Antshrike,Feinstreifen-Ameisenwürger,Thamnophilus tenuepunctatus,Aves,Passeriformes,['Thamnophilus tenuepunctatus']
16700,Thamnophilus torquatus,Rufous-winged Antshrike,ruwant2,Thamnophilus torquatus,Rufous-winged Antshrike,Rostflügel-Ameisenwürger,Thamnophilus torquatus,Aves,Passeriformes,['Thamnophilus torquatus']
16701,Thamnophilus unicolor,Uniform Antshrike,uniant2,Thamnophilus unicolor,Uniform Antshrike,Einfarbameisenwürger,Thamnophilus unicolor,Aves,Passeriformes,['Thamnophilus unicolor']
16702,Thamnophilus zarumae,Chapman's Antshrike,chaant1,Thamnophilus zarumae,Chapman's Antshrike,Fahlflanken-Ameisenwürger,Thamnophilus zarumae,Aves,Passeriformes,['Thamnophilus zarumae']
16703,Thamnophis ordinoides,,,,,,Thamnophis ordinoides,Squamata,,['Thamnophis ordinoides']
16704,Thamnophis proximus,,,,,,Thamnophis proximus,Squamata,,['Thamnophis proximus']
16705,Thamnophis sirtalis,,,,,,Thamnophis sirtalis,Squamata,,['Thamnophis sirtalis']
16706,Thamnornis chloropetoides,Thamnornis,thamno2,Thamnornis chloropetoides,Thamnornis,Kiritika-Madagaskarsänger,Thamnornis chloropetoides,Aves,Passeriformes,['Thamnornis chloropetoides']
16707,Thaumasius baeri,Tumbes Hummingbird,tumhum1,Thaumasius baeri,Tumbes Hummingbird,Baerkolibri,Thaumasius baeri,Aves,Apodiformes,['Thaumasius baeri']
16708,Thaumasius taczanowskii,Spot-throated Hummingbird,spthum2,Thaumasius taczanowskii,Spot-throated Hummingbird,Taczanowskikolibri,Thaumasius taczanowskii,Aves,Apodiformes,['Thaumasius taczanowskii']
16709,Thaumastura cora,Peruvian Sheartail,pershe2,Thaumastura cora,Peruvian Sheartail,Corakolibri,Thaumastura cora,Aves,Apodiformes,['Thaumastura cora']
16710,Thecadactylus rapicauda,,,,,,Thecadactylus rapicauda,Squamata,,['Thecadactylus rapicauda']
16711,Theristicus branickii,Andean Ibis,bkfibi2,Theristicus branickii,Andean Ibis,Andenibis,Theristicus melanopis,Aves,Pelecaniformes,"['Theristicus branickii', 'Theristicus melanopis']"
16712,Theristicus melanopis,Black-faced Ibis,bkfibi1,Theristicus melanopis,Black-faced Ibis,Schwarzzügelibis,Theristicus melanopis,Aves,Pelecaniformes,['Theristicus melanopis']
16713,Theristicus caerulescens,Plumbeous Ibis,pluibi1,Theristicus caerulescens,Plumbeous Ibis,Stirnbandibis,Theristicus caerulescens,Aves,Pelecaniformes,['Theristicus caerulescens']
16714,Theristicus caudatus,Buff-necked Ibis,bunibi1,Theristicus caudatus,Buff-necked Ibis,Weißhalsibis,Theristicus caudatus,Aves,Pelecaniformes,['Theristicus caudatus']
16715,Theropithecus gelada,,,,,,Theropithecus gelada,Mammalia,Primates,['Theropithecus gelada']
16716,Thescelocichla leucopleura,Swamp Greenbul,swagre1,Thescelocichla leucopleura,Swamp Palm Bulbul,Palmenbülbül,Thescelocichla leucopleura,Aves,Passeriformes,['Thescelocichla leucopleura']
16717,Thinocorus orbignyianus,Gray-breasted Seedsnipe,gybsee1,Thinocorus orbignyianus,Grey-breasted Seedsnipe,Graubrust-Höhenläufer,Thinocorus orbignyianus,Aves,Charadriiformes,['Thinocorus orbignyianus']
16718,Thinocorus rumicivorus,Least Seedsnipe,leasee1,Thinocorus rumicivorus,Least Seedsnipe,Zwerghöhenläufer,Thinocorus rumicivorus,Aves,Charadriiformes,['Thinocorus rumicivorus']
16719,Thinornis cucullatus,Hooded Plover,hooplo2,,,,Thinornis cucullatus,Aves,Charadriiformes,['Thinornis cucullatus']
16720,Thinornis dubius,Little Ringed Plover,lirplo,,,,,Aves,Charadriiformes,['Thinornis dubius']
16721,Thinornis forbesi,Forbes's Plover,forplo1,,,,,Aves,Charadriiformes,['Thinornis forbesi']
16722,Thinornis melanops,Black-fronted Dotterel,blfdot1,,,,,Aves,Charadriiformes,['Thinornis melanops']
16723,Thinornis novaeseelandiae,Shore Plover,shoplo1,,,,Thinornis novaeseelandiae,Aves,Charadriiformes,['Thinornis novaeseelandiae']
16724,Thinornis placidus,Long-billed Plover,lobplo1,,,,,Aves,Charadriiformes,['Thinornis placidus']
16725,Thinornis tricollaris,Three-banded Plover,thbplo1,,,,,Aves,Charadriiformes,['Thinornis tricollaris']
16726,Thlypopsis fulviceps,Fulvous-headed Tanager,fuhtan1,Thlypopsis fulviceps,Fulvous-headed Tanager,Rostkopftangare,Thlypopsis fulviceps,Aves,Passeriformes,['Thlypopsis fulviceps']
16727,Thlypopsis inornata,Buff-bellied Tanager,bubtan1,Thlypopsis inornata,Buff-bellied Tanager,Braunbauchtangare,Thlypopsis inornata,Aves,Passeriformes,['Thlypopsis inornata']
16728,Thlypopsis ornata,Rufous-chested Tanager,ructan3,Thlypopsis ornata,Rufous-chested Tanager,Zimtbrusttangare,Thlypopsis ornata,Aves,Passeriformes,['Thlypopsis ornata']
16729,Thlypopsis pectoralis,Brown-flanked Tanager,brftan1,Thlypopsis pectoralis,Brown-flanked Tanager,Braunflankentangare,Thlypopsis pectoralis,Aves,Passeriformes,['Thlypopsis pectoralis']
16730,Thlypopsis pyrrhocoma,Chestnut-headed Tanager,chhtan1,Thlypopsis pyrrhocoma,Chestnut-headed Tanager,Kastanienkopftangare,Thlypopsis pyrrhocoma,Aves,Passeriformes,['Thlypopsis pyrrhocoma']
16731,Thlypopsis ruficeps,Rust-and-yellow Tanager,raytan1,Thlypopsis ruficeps,Rust-and-yellow Tanager,Goldkappentangare,Thlypopsis ruficeps,Aves,Passeriformes,['Thlypopsis ruficeps']
16732,Thlypopsis sordida,Orange-headed Tanager,orhtan1,Thlypopsis sordida,Orange-headed Tanager,Orangekopftangare,Thlypopsis sordida,Aves,Passeriformes,['Thlypopsis sordida']
16733,Thlypopsis superciliaris,Superciliaried Hemispingus,suphem1,Thlypopsis superciliaris,Superciliaried Hemispingus,Augenbrauentangare,Thlypopsis superciliaris,Aves,Passeriformes,['Thlypopsis superciliaris']
16734,Thopha emmotti,,,,,,Thopha emmotti,Insecta,Hemiptera,['Thopha emmotti']
16735,Thopha saccata,,,,,,Thopha saccata,Insecta,Hemiptera,['Thopha saccata']
16736,Thopha sessiliba,,,,,,Thopha sessiliba,Insecta,Hemiptera,['Thopha sessiliba']
16737,Thoracistus viridicrus,,,,,,Thoracistus viridicrus,Insecta,Orthoptera,['Thoracistus viridicrus']
16738,Thoropa lutzi,Thoropa lutzi,t-11105477,,,,Thoropa lutzi,Amphibia,Anura,['Thoropa lutzi']
16739,Thoropa petropolitana,Thoropa petropolitana,t-11048409,,,,Thoropa petropolitana,Amphibia,Anura,['Thoropa petropolitana']
16740,Thoropa taophora,Thoropa taophora,t-12031179,,,,Thoropa taophora,Amphibia,Anura,['Thoropa taophora']
16741,Thorybes pylades,,,,,,Thorybes pylades,Insecta,Lepidoptera,['Thorybes pylades']
16742,Thraupis abbas,Yellow-winged Tanager,yewtan1,Thraupis abbas,Yellow-winged Tanager,Olivflügeltangare,Thraupis abbas,Aves,Passeriformes,['Thraupis abbas']
16743,Thraupis cyanoptera,Azure-shouldered Tanager,azstan1,Thraupis cyanoptera,Azure-shouldered Tanager,Violettschultertangare,Thraupis cyanoptera,Aves,Passeriformes,['Thraupis cyanoptera']
16744,Thraupis episcopus,Blue-gray Tanager,bugtan,Thraupis episcopus,Blue-grey Tanager,Bischofstangare,Thraupis episcopus,Aves,Passeriformes,['Thraupis episcopus']
16745,Thraupis glaucocolpa,Glaucous Tanager,glatan1,Thraupis glaucocolpa,Glaucous Tanager,Blauflecktangare,Thraupis glaucocolpa,Aves,Passeriformes,['Thraupis glaucocolpa']
16746,Thraupis ornata,Golden-chevroned Tanager,goctan2,Thraupis ornata,Golden-chevroned Tanager,Schmucktangare,Thraupis ornata,Aves,Passeriformes,['Thraupis ornata']
16747,Thraupis palmarum,Palm Tanager,paltan1,Thraupis palmarum,Palm Tanager,Palmentangare,Thraupis palmarum,Aves,Passeriformes,['Thraupis palmarum']
16748,Thraupis sayaca,Sayaca Tanager,saytan1,Thraupis sayaca,Sayaca Tanager,Sayacatangare,Thraupis sayaca,Aves,Passeriformes,['Thraupis sayaca']
16749,Threnetes leucurus,Pale-tailed Barbthroat,patbar1,Threnetes leucurus,Pale-tailed Barbthroat,Schwarzkinn-Schattenkolibri,Threnetes leucurus,Aves,Apodiformes,['Threnetes leucurus']
16750,Threnetes niger,Sooty Barbthroat,soobar1,Threnetes niger,Sooty Barbthroat,Rußschattenkolibri,Threnetes niger,Aves,Apodiformes,['Threnetes niger']
16751,Threnetes ruckeri,Band-tailed Barbthroat,batbar1,Threnetes ruckeri,Band-tailed Barbthroat,Weißbinden-Schattenkolibri,Threnetes ruckeri,Aves,Apodiformes,['Threnetes ruckeri']
16752,Threskiornis aethiopicus,African Sacred Ibis,sacibi2,Threskiornis aethiopicus,African Sacred Ibis,Pharaonenibis,Threskiornis aethiopicus,Aves,Pelecaniformes,['Threskiornis aethiopicus']
16753,Threskiornis melanocephalus,Black-headed Ibis,blhibi1,Threskiornis melanocephalus,Black-headed Ibis,Schwarzkopfibis,Threskiornis melanocephalus,Aves,Pelecaniformes,['Threskiornis melanocephalus']
16754,Threskiornis molucca,Australian Ibis,ausibi1,Threskiornis molucca,Australian White Ibis,Australibis,Threskiornis molucca,Aves,Pelecaniformes,['Threskiornis molucca']
16755,Threskiornis spinicollis,Straw-necked Ibis,stnibi1,Threskiornis spinicollis,Straw-necked Ibis,Stachelibis,Threskiornis spinicollis,Aves,Pelecaniformes,['Threskiornis spinicollis']
16756,Thrichomys laurentius,,,,,,Thrichomys laurentius,Mammalia,Rodentia,['Thrichomys laurentius']
16757,Thripadectes flammulatus,Flammulated Treehunter,flatre1,Thripadectes flammulatus,Flammulated Treehunter,Streifenbaumspäher,Thripadectes flammulatus,Aves,Passeriformes,['Thripadectes flammulatus']
16758,Thripadectes holostictus,Striped Treehunter,strtre1,Thripadectes holostictus,Striped Treehunter,Strichelbaumspäher,Thripadectes holostictus,Aves,Passeriformes,['Thripadectes holostictus']
16759,Thripadectes ignobilis,Uniform Treehunter,unitre1,Thripadectes ignobilis,Uniform Treehunter,Einfarbbaumspäher,Thripadectes ignobilis,Aves,Passeriformes,['Thripadectes ignobilis']
16760,Thripadectes melanorhynchus,Black-billed Treehunter,blbtre1,Thripadectes melanorhynchus,Black-billed Treehunter,Schuppenkehl-Baumspäher,Thripadectes melanorhynchus,Aves,Passeriformes,['Thripadectes melanorhynchus']
16761,Thripadectes rufobrunneus,Streak-breasted Treehunter,stbtre1,Thripadectes rufobrunneus,Streak-breasted Treehunter,Ockerkehl-Baumspäher,Thripadectes rufobrunneus,Aves,Passeriformes,['Thripadectes rufobrunneus']
16762,Thripadectes scrutator,Rufous-backed Treehunter,rubtre1,Thripadectes scrutator,Peruvian Treehunter,Braunrücken-Baumspäher,Thripadectes scrutator,Aves,Passeriformes,['Thripadectes scrutator']
16763,Thripadectes virgaticeps,Streak-capped Treehunter,stctre1,Thripadectes virgaticeps,Streak-capped Treehunter,Ockerkinn-Baumspäher,Thripadectes virgaticeps,Aves,Passeriformes,['Thripadectes virgaticeps']
16764,Thripophaga amacurensis,Delta Amacuro Softtail,deasof1,Thripophaga amacurensis,Delta Amacuro Softtail,Orinokocanastero,Thripophaga amacurensis,Aves,Passeriformes,['Thripophaga amacurensis']
16765,Thripophaga berlepschi,,,,,,Thripophaga berlepschi,Aves,Passeriformes,['Thripophaga berlepschi']
16766,Thripophaga cherriei,Orinoco Softtail,orisof1,Thripophaga cherriei,Orinoco Softtail,Strichelkehlcanastero,Thripophaga cherriei,Aves,Passeriformes,['Thripophaga cherriei']
16767,Thripophaga fusciceps,Plain Softtail,plasof1,Thripophaga fusciceps,Plain Softtail,Rostflügelcanastero,Thripophaga fusciceps,Aves,Passeriformes,['Thripophaga fusciceps']
16768,Thripophaga macroura,Striated Softtail,strsof1,Thripophaga macroura,Striated Softtail,Strichelbauchcanastero,Thripophaga macroura,Aves,Passeriformes,['Thripophaga macroura']
16769,Thryomanes bewickii,Bewick's Wren,bewwre,Thryomanes bewickii,Bewick's Wren,Buschzaunkönig,Thryomanes bewickii,Aves,Passeriformes,['Thryomanes bewickii']
16770,Thryophilus nicefori,Niceforo's Wren,nicwre1,Thryophilus nicefori,Niceforo's Wren,Santanderzaunkönig,Thryophilus nicefori,Aves,Passeriformes,['Thryophilus nicefori']
16771,Thryophilus pleurostictus,Banded Wren,banwre1,Thryophilus pleurostictus,Banded Wren,Akazienzaunkönig,Thryophilus pleurostictus,Aves,Passeriformes,['Thryophilus pleurostictus']
16772,Thryophilus rufalbus,Rufous-and-white Wren,rawwre1,Thryophilus rufalbus,Rufous-and-white Wren,Rotrückenzaunkönig,Thryophilus rufalbus,Aves,Passeriformes,['Thryophilus rufalbus']
16773,Thryophilus sernai,Antioquia Wren,antwre2,Thryophilus sernai,Antioquia Wren,Antioquiazaunkönig,Thryophilus sernai,Aves,Passeriformes,['Thryophilus sernai']
16774,Thryophilus sinaloa,Sinaloa Wren,sinwre1,Thryophilus sinaloa,Sinaloa Wren,Sinaloazaunkönig,Thryophilus sinaloa,Aves,Passeriformes,['Thryophilus sinaloa']
16775,Thryorchilus browni,Timberline Wren,timwre1,Thryorchilus browni,Timberline Wren,Bergzaunkönig,Thryorchilus browni,Aves,Passeriformes,['Thryorchilus browni']
16776,Thryothorus ludovicianus,Carolina Wren,carwre,Thryothorus ludovicianus,Carolina Wren,Carolinazaunkönig,Thryothorus ludovicianus,Aves,Passeriformes,['Thryothorus ludovicianus']
16777,Thuja occidentalis,,,,,,,,,['Thuja occidentalis']
16778,Thuja plicata,,,,,,,,,['Thuja plicata']
16779,Thyreonotus bidens,,,,,,Thyreonotus bidens,Insecta,Orthoptera,['Thyreonotus bidens']
16780,Thyreonotus corsicus,,,,,,Thyreonotus corsicus,Insecta,Orthoptera,['Thyreonotus corsicus']
16781,Thyroptera tricolor,,,,,,Thyroptera tricolor,Mammalia,Chiroptera,['Thyroptera tricolor']
16782,Tiaris olivaceus,Yellow-faced Grassquit,yefgra1,Tiaris olivaceus,Yellow-faced Grassquit,Goldbrauen-Gimpeltangare,Tiaris olivaceus,Aves,Passeriformes,['Tiaris olivaceus']
16783,Tibicen,Tibicen,t-12026282,,,,,Insecta,Hemiptera,['Tibicen']
16784,Tibicina corsica,,,,,,Tibicina corsica,Insecta,Hemiptera,['Tibicina corsica']
16785,Tibicina garricola,,,,,,Tibicina garricola,Insecta,Hemiptera,['Tibicina garricola']
16786,Tibicina haematodes,,,,,,Tibicina haematodes,Insecta,Hemiptera,['Tibicina haematodes']
16787,Tibicina quadrisignata,,,,,,Tibicina quadrisignata,Insecta,Hemiptera,['Tibicina quadrisignata']
16788,Tibicina steveni,,,,,,Tibicina steveni,Insecta,Hemiptera,['Tibicina steveni']
16789,Tibicinoides boweni,,,,,,,Insecta,Hemiptera,['Tibicinoides boweni']
16790,Tibicinoides catalina,,,,,,,Insecta,Hemiptera,['Tibicinoides catalina']
16791,Tibicinoides cupreosparsa,,,,,,Tibicinoides cupreosparsa,Insecta,Hemiptera,['Tibicinoides cupreosparsa']
16792,Tibicinoides minuta,,,,,,Tibicinoides minuta,Insecta,Hemiptera,['Tibicinoides minuta']
16793,Tibicinoides pallidula,,,,,,,Insecta,Hemiptera,['Tibicinoides pallidula']
16794,Tibicinoides rubrovenosa,,,,,,,Insecta,Hemiptera,['Tibicinoides rubrovenosa']
16795,Tibicinoides simulata,,,,,,,Insecta,Hemiptera,['Tibicinoides simulata']
16796,Tibicinoides striatipes,,,,,,,Insecta,Hemiptera,['Tibicinoides striatipes']
16797,Tibicinoides uncinata,,,,,,,Insecta,Hemiptera,['Tibicinoides uncinata']
16798,Tibicinoides utahensis,,,,,,,Insecta,Hemiptera,['Tibicinoides utahensis']
16799,Tibicinoides vanduzeei,,,,,,,Insecta,Hemiptera,['Tibicinoides vanduzeei']
16800,Tichodroma muraria,Wallcreeper,wallcr1,Tichodroma muraria,Wallcreeper,Mauerläufer,Tichodroma muraria,Aves,Passeriformes,['Tichodroma muraria']
16801,Tickellia hodgsoni,Broad-billed Warbler,brbwar1,Tickellia hodgsoni,Broad-billed Warbler,Breitschnabel-Dickichtsänger,Tickellia hodgsoni,Aves,Passeriformes,['Tickellia hodgsoni']
16802,Tigriornis leucolopha,White-crested Tiger-Heron,whcbit1,Tigriornis leucolopha,White-crested Tiger Heron,Weißschopfreiher,Tigriornis leucolopha,Aves,Pelecaniformes,['Tigriornis leucolopha']
16803,Tigrisoma fasciatum,Fasciated Tiger-Heron,father1,Tigrisoma fasciatum,Fasciated Tiger Heron,Streifenreiher,Tigrisoma fasciatum,Aves,Pelecaniformes,['Tigrisoma fasciatum']
16804,Tigrisoma lineatum,Rufescent Tiger-Heron,ruther1,Tigrisoma lineatum,Rufescent Tiger Heron,Marmorreiher,Tigrisoma lineatum,Aves,Pelecaniformes,['Tigrisoma lineatum']
16805,Tigrisoma mexicanum,Bare-throated Tiger-Heron,btther1,Tigrisoma mexicanum,Bare-throated Tiger Heron,Nacktkehlreiher,Tigrisoma mexicanum,Aves,Pelecaniformes,['Tigrisoma mexicanum']
16806,Tilia americana,,,,,,,,,['Tilia americana']
16807,Tillandsia recurvata,,,,,,,,,['Tillandsia recurvata']
16808,Tilmatura dupontii,Sparkling-tailed Hummingbird,spthum1,Tilmatura dupontii,Sparkling-tailed Woodstar,Blaukehl-Sternkolibri,Tilmatura dupontii,Aves,Apodiformes,['Tilmatura dupontii']
16809,Timalia pileata,Chestnut-capped Babbler,chcbab1,Timalia pileata,Chestnut-capped Babbler,Rotkappentimalie,Timalia pileata,Aves,Passeriformes,['Timalia pileata']
16810,Timandra comae,,,,,,Timandra comae,Insecta,Lepidoptera,['Timandra comae']
16811,Timeliopsis griseigula,Tawny Straightbill,tawstr1,Timeliopsis griseigula,Tawny Straightbill,Geradschnabel-Honigfresser,Timeliopsis griseigula,Aves,Passeriformes,['Timeliopsis griseigula']
16812,Tinamotis ingoufi,Patagonian Tinamou,pattin1,Tinamotis ingoufi,Patagonian Tinamou,Patagonientinamu,Tinamotis ingoufi,Aves,Tinamiformes,['Tinamotis ingoufi']
16813,Tinamotis pentlandii,Puna Tinamou,puntin1,Tinamotis pentlandii,Puna Tinamou,Punatinamu,Tinamotis pentlandii,Aves,Tinamiformes,['Tinamotis pentlandii']
16814,Tinamus guttatus,White-throated Tinamou,whttin1,Tinamus guttatus,White-throated Tinamou,Weißkehltinamu,Tinamus guttatus,Aves,Tinamiformes,['Tinamus guttatus']
16815,Tinamus major,Great Tinamou,gretin1,Tinamus major,Great Tinamou,Großtinamu,Tinamus major,Aves,Tinamiformes,['Tinamus major']
16816,Tinamus osgoodi,Black Tinamou,blatin1,Tinamus osgoodi,Black Tinamou,Schwarztinamu,Tinamus osgoodi,Aves,Tinamiformes,['Tinamus osgoodi']
16817,Tinamus solitarius,Solitary Tinamou,soltin1,Tinamus solitarius,Solitary Tinamou,Zimttinamu,Tinamus solitarius,Aves,Tinamiformes,['Tinamus solitarius']
16818,Tinamus tao,Gray Tinamou,grytin1,Tinamus tao,Grey Tinamou,Taotinamu,Tinamus tao,Aves,Tinamiformes,['Tinamus tao']
16819,Tipularia discolor,,,,,,,Insecta,Diptera,['Tipularia discolor']
16820,Tityra cayana,Black-tailed Tityra,blttit1,Tityra cayana,Black-tailed Tityra,Schwarznackenbekarde,Tityra cayana,Aves,Passeriformes,['Tityra cayana']
16821,Tityra inquisitor,Black-crowned Tityra,blctit1,Tityra inquisitor,Black-crowned Tityra,Schwarzkappenbekarde,Tityra inquisitor,Aves,Passeriformes,['Tityra inquisitor']
16822,Tityra semifasciata,Masked Tityra,mastit1,Tityra semifasciata,Masked Tityra,Weißnackenbekarde,Tityra semifasciata,Aves,Passeriformes,['Tityra semifasciata']
16823,Tlalocohyla godmani,Rana-de árbol de Godman,t-11044207,,,,Tlalocohyla godmani,Amphibia,Anura,['Tlalocohyla godmani']
16824,Tlalocohyla loquax,Tlalocohyla loquax,t-11138443,,,,Tlalocohyla loquax,Amphibia,Anura,['Tlalocohyla loquax']
16825,Tlalocohyla picta,Rana-de árbol pintada,t-11145410,,,,Tlalocohyla picta,Amphibia,Anura,['Tlalocohyla picta']
16826,Tlalocohyla smithii,Tlalocohyla smithii,t-11043677,,,,Tlalocohyla smithii,Amphibia,Anura,['Tlalocohyla smithii']
16827,Tliltocatl vagans,,,,,,Tliltocatl vagans,Arachnida,Araneae,['Tliltocatl vagans']
16828,Tmetothylacus tenellus,Golden Pipit,golpip1,Tmetothylacus tenellus,Golden Pipit,Goldpieper,Tmetothylacus tenellus,Aves,Passeriformes,['Tmetothylacus tenellus']
16829,Tockus damarensis,Damara Red-billed Hornbill,drbhor1,Tockus damarensis,Damara Red-billed Hornbill,Damaratoko,Tockus damarensis,Aves,Bucerotiformes,['Tockus damarensis']
16830,Tockus deckeni,Von der Decken's Hornbill,vddhor1,Tockus deckeni,Von der Decken's Hornbill,Von-der-Decken-Toko,Tockus deckeni,Aves,Bucerotiformes,['Tockus deckeni']
16831,Tockus erythrorhynchus,Northern Red-billed Hornbill,rebhor1,Tockus erythrorhynchus,Northern Red-billed Hornbill,Savannentoko,Tockus erythrorhynchus,Aves,Bucerotiformes,['Tockus erythrorhynchus']
16832,Tockus flavirostris,Eastern Yellow-billed Hornbill,eybhor1,Tockus flavirostris,Eastern Yellow-billed Hornbill,Gelbschnabeltoko,Tockus flavirostris,Aves,Bucerotiformes,['Tockus flavirostris']
16833,Tockus jacksoni,Jackson's Hornbill,jachor1,Tockus jacksoni,Jackson's Hornbill,Jacksontoko,Tockus jacksoni,Aves,Bucerotiformes,['Tockus jacksoni']
16834,Tockus kempi,Western Red-billed Hornbill,wrbhor2,Tockus kempi,Western Red-billed Hornbill,Senegaltoko,Tockus kempi,Aves,Bucerotiformes,['Tockus kempi']
16835,Tockus leucomelas,Southern Yellow-billed Hornbill,sybhor1,Tockus leucomelas,Southern Yellow-billed Hornbill,Rotringtoko,Tockus leucomelas,Aves,Bucerotiformes,['Tockus leucomelas']
