idx,sci_name,com_name,species_code,class_name,common_name_ru,common_name_de,common_name_es,common_name_cs,common_name_fr,common_name_nl,common_name_pl,common_name_ja,common_name_pt,common_name_ca,common_name_zh-CN,common_name_bg,common_name_no,common_name_sv,common_name_da,common_name_sk,common_name_uk,common_name_tr,common_name_fi,common_name_sr,common_name_es_ES,common_name_es_MX,common_name_pt_PT,common_name_hr,common_name_es_EC,common_name_lt,common_name_fa,common_name_zh,common_name_cy
39,Accipiter striatus,Sharp-shinned Hawk,shshaw,aves,Американский перепелятник,Eckschwanzsperber,Gavilán Americano,krahujec americký,Épervier brun,Amerikaanse sperwer,krogulec zmienny,アシボソハイタカ,tauató-miúdo,esparver americà,纹腹鹰,Американски малък ястреб,parulahauk,amerikansk sparvhök,Amerikansk Spurvehøg,jastrab čiarkový,Яструб неоарктичний,Amerika Atmacası,amerikanvarpushaukka,Američki kobac,Gavilán americano,Gavilán Pecho Canela,Gavião-miúdo,američki kobac,Azor Americano,Rausvaausis vanagas,باز ساقتیز,Sharp-shinned Hawk,Gwalch Cynffonsgwar
40,Aceros nipalensis,Rufous-necked Hornbill,runhor1,aves,Непальский калао,Nepalhornvogel,Cálao del Nepal,zoborožec rezavý,Calao à cou roux,Himalayajaarvogel,dzioborożec rudy,ナナミゾサイチョウ,rufous-necked hornbill,calau collrogenc,棕颈犀鸟,Ръждивоврата птица носорог,rødhalshornfugl,rosthalsad näshornsfågel,Rødhalset Rynkenæb,zobákorožec hrdzavý,Калао непальський,Kızıl Boyunlu Boynuzgaga,kiilasarvinokka,Crvenobradi kljunorožac,Cálao del Nepal,Cálao del Nepal,Rufous-necked hornbill,crvenogrli kljunorožac,Cálao del Nepal,Nepalinis aceras,نوکشاخ گردنحنایی,棕颈犀鸟,Cornbig gyddfgoch
41,Achaetops pycnopygius,Rockrunner,damroc1,aves,Дамарский скалолаз,Klippensänger,Saltarrocas Damara,skalňáček drozdovitý,Achétopse à flancs roux,Roodstuitrotszanger,skalnik,イワトビムシクイ,rockrunner,roqueret damara,岩莺,Скален славей,steinhopper,damarasångare,Klippehopper,skalobežec škvrnitý,Куцохвостик малий,Damara Kayabülbülü,louhikkokerttu,Damarski lažni čukundrozd,Saltarrocas damara,Saltarrocas Damara,Rockrunner,kamenjarska cvrkutuša,Saltarrocas Damara,Dryžakrūtė devynbalsė,دونده صخره,岩莺,Coegneidiwr meini
42,Acherontia atropos,Death's Head Hawkmoth,56530,insecta,бражник мёртвая голова,Totenkopfschwärmer,Esfinge de la Calavera,lišaj smrtihlav,Sphinx tête de mort,Doodshoofdvlinder,Zmierzchnica trupia główka,ヨーロッパメンガタスズメ,Esfinge-Caveira,Papallona de la Calavera,赭带鬼脸天蛾,Мъртвешка глава,dødninghode,dödskallesvärmare,Dødningehoved,Lišaj smrtkový,Бражник мертва голова,Kurukafa güvesi,pääkallokiitäjä,Мртвачка глава,Death's Head Hawkmoth,Death's Head Hawkmoth,Death's Head Hawkmoth,Death's Head Hawkmoth,Death's Head Hawkmoth,Kaukolėtasis sfinksas,بازشاپرک کلهمرگ آفریقایی,赭帶鬼臉天蛾,Gwalchwyfyn y benglog
43,Acherontia lachesis,Greater Death's Head Hawkmoth,121837,insecta,Мёртвая голова Лахесы,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Zmora orientalna,クロメンガタスズメ,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,鬼脸天蛾,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Acherontia satanas,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,Greater Death's Head Hawkmoth,زنبورربای بزرگ,鬼臉天蛾,Greater Death's Head Hawkmoth
44,Acheta domesticus,House Cricket,133220,insecta,Сверчок домовый,Heimchen,Grillo asiático doméstico,cvrček domácí,Grillon domestique,Huiskrekel,świerszcz domowy,ヨーロッパイエコオロギ,Grilo-doméstico,grill domèstic,家蟋蟀,House Cricket,hussiriss,hussyrsa,Husfårekylling,svrček domový,Цвіркун хатній,House Cricket,kotisirkka,Кућни попац,House Cricket,House Cricket,House Cricket,Kućni šturak,House Cricket,Naminis svirplys,House Cricket,家蟋蟀,House Cricket
45,Acheta hispanicus,Spanish House-Cricket,917175,insecta,Сверчок испанский,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket
46,Acheta rufopictus,Acheta rufopictus,1422645,insecta,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus,Acheta rufopictus
47,Acinonyx jubatus,Cheetah,41955,mammalia,Гепард,Gepard,Guepardo,gepard štíhlý,Guépard,Cheetah,Gepard grzywiasty,チーター,Chita,Guepard,猎豹,Гепард,Gepard,gepard,Gepard,Gepard,Гепард,Çita,Gepardi,гепард,Cheetah,Cheetah,Cheetah,Gepard,Cheetah,Gepardas,یوزپلنگ,獵豹,llewpart hela
48,Acontista concinna,Acontista concinna,748777,insecta,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna,Acontista concinna
49,Acridotheres albocinctus,Collared Myna,colmyn1,aves,Ошейниковая майна,Halsbandmaina,Miná Acollarado,majna bělokrká,Martin à collier,Witkraagmaina,majna obrożna,シロエリハッカ,collared myna,mainà de collar,白领八哥,Синеока майна,kragestær,halsbandsmajna,Hvidhalset Maina,škorec golierikatý,Майна юнанська,Yakalı Çiğdeci,sepelmaina,Ogrličasta mina,Miná acollarado,Miná Acollarado,Collared myna,bjelovrati čvorak,Miná Acollarado,Collared Myna,مینای طوقه,白领八哥,Maina torchwyn
50,Acridotheres burmannicus,Burmese Myna,vibsta1,aves,Камбоджийский скворец,Burmamaina,Miná Birmano,majna barmská,Martin birman,Birmese maina,majna birmańska,シロガシラムクドリ,burmese myna,mainà de Myanmar,红嘴椋鸟,Бирманска майна,burmastær,burmamajna,Myanmarstær,škorec vínovoprsý,Майна бірманська,Gri Enseli Çiğdeci,naamiokottarainen,Burmanska mina,Miná birmano,Miná Birmano,Burmese myna,burmanski čvorak,Miná Birmano,Burmese Myna,سار سینهشرابی,红嘴椋鸟,Drudwen Jerdon
51,Acridotheres cinereus,Pale-bellied Myna,pabmyn1,aves,Серая майна,Fahlbauchmaina,Miná Cenizo,majna celebeská,Martin cendré,Vaalbuikmaina,majna popielata,ハッカ,mainato-de-barriga-branca,mainà cendrós,淡腹八哥,Светлокорема майна,gresstær,sulawesimajna,Sulawesi Maina,škorec dobytčí,Майна світлочерева,Boz Çiğdeci,celebesinviidakkomaina,Svetlotrba mina,Miná cenizo,Miná Cenizo,Mainato-de-barriga-branca,sivotrbi čvorak,Miná Cenizo,Pale-bellied Myna,مینای شکمروشن,淡腹八哥,Maina tinwyn
52,Acridotheres cristatellus,Crested Myna,cremyn,aves,Хохлатая майна,Haubenmaina,Miná Crestado,majna chocholatá,Martin huppé,Kuifmaina,majna czubata,ハッカチョウ,mainato-de-poupa,mainà crestat,八哥,Качулата майна,krøllstær,kinesisk majna,Topmaina,škorec chochlatý,Майна чубата,Tepeli Çiğdeci,riisimaina,Ćubasta mina,Miná crestado,Miná Crestado,Mainato-de-poupa,bjelokljuni čvorak,Estornino Crestado,cimeņmaina,مینای تاجدار,八哥,Maina Tsieina
53,Acridotheres fuscus,Jungle Myna,junmyn1,aves,Джунглевая майна,Dschungelmaina,Miná de Jungla,majna hnědá,Martin forestier,Junglemaina,majna szara,モリハッカ,jungle myna,mainà de jungla,丛林八哥,Горска майна,krattstær,djungelmajna,Brun Maina,škorec džungľový,Майна джунглева,Kurşuni Çiğdeci,viidakkomaina,Prašumska mina,Miná de jungla,Miná de Jungla,Jungle myna,šumski čvorak,Miná de Jungla,Jungle Myna,مینای جنگلی,丛林八哥,Maina tywyll
54,Acridotheres ginginianus,Bank Myna,banmyn1,aves,Береговая майна,Ufermaina,Miná Ribereño,majna břehová,Martin des berges,Oevermaina,majna norowa,ハイイロハッカ,bank myna,mainà riberenc,灰背岸八哥,Сива майна,landsbystær,brinkmajna,Grå Maina,škorec pobrežný,Майна берегова,Dere Çiğdecisi,intianmaina,Siva mina,Miná ribereño,Miná Ribereño,Bank myna,crno-sivi čvorak,Miná Ribereño,krastu maina,مینای خاکستری,灰背岸八哥,Maina’r dorlan
55,Acridotheres grandis,Great Myna,whvmyn1,aves,Чубатая майна,Riesenmaina,Miná Grande,majna velká,Grand Martin,Grote maina,majna żałobna,オオハッカ,great myna,mainà gros,林八哥,Голяма майна,engstær,tofsmajna,Stor Maina,škorec smútočný,Майна велика,Büyük Çiğdeci,töyhtömaina,Velika mina,Miná grande,Miná Grande,Great myna,indokineski čvorak,Miná Grande,Great Myna,مینای دمگاهسفید,林八哥,Maina mawr
56,Acridotheres javanicus,Javan Myna,whvmyn,aves,Яванская майна,Javamaina,Miná de Java,majna jávská,Martin de Java,Javaanse maina,majna jawajska,ジャワハッカ,javan myna,mainà de Java,爪哇八哥,Яванска майна,javastær,javamajna,Javamaina,škorec ryžový,Майна яванська,Cava Çiğdecisi,jaavanmaina,Javanska mina,Miná de Java,Miná de Java,Javan myna,javanski čvorak,Miná de Java,Javan Myna,مینای جاوهای,Javan Myna,Javan Myna
57,Acridotheres leucocephalus,Vinous-breasted Myna,vibsta4,aves,Vinous-breasted Myna,Fahlbürzelmaina,Miná Vinoso,majna vínovoprsá,Martin à tête blanche,Wijnborstmaina,majna białogłowa,Vinous-breasted Myna,vinous-breasted myna,mainà vinós,红胸八哥,Виетнамска майна,vinstær,vinmajna,Burmastær,škorec bielokrký,Майна білоголова,Ak Enseli Çiğdeci,Vinous-breasted Myna,Belooka mina,Miná vinoso,Miná Vinoso,Vinous-breasted myna,srebrnasti čvorak,Miná Vinoso,Vinous-breasted Myna,سار سینهشرابی,红胸椋鸟,Vinous-breasted Myna
58,Acridotheres melanopterus,Black-winged Myna,bkwsta1,aves,Чернокрылая майна,Schwarzflügelmaina,Miná Alinegro,majna černokřídlá,Martin à ailes noires,Zwartvleugelmaina,majna czarnoskrzydła,ソデグロムクドリ,black-winged myna,mainà alanegre,黑袖椋鸟,Чернокрила майна,svartvingestær,svartvingad majna,Sortvinget Stær,škorec čiernokrídly,Майна чорнокрила,Ak Çiğdeci,jaavankottarainen,Crnokrila mina,Miná alinegro,Miná Alinegro,Black-winged myna,bjeloleđi čvorak,Miná Alinegro,Black-winged Myna,سار پرسیاه,黑翅椋鳥,Drudwen adeinddu
59,Acridotheres tristis,Common Myna,commyn,aves,Майна,Hirtenmaina,Miná Común,majna obecná,Martin triste,Treurmaina,majna brunatna,インドハッカ,mainato-de-mascarilha-amarela,mainà comú,家八哥,Обикновена майна,hyrdestær,brunmajna,Maina,škorec hnedý,Майна індійська,Çiğdeci,pihamaina,Smeđa mina,Miná común,Miná Común,Mainato-de-mascarilha-amarela,smeđoleđi čvorak,Miná Común,Paprastoji maina,Common Myna,家八哥,Maina cyffredin
60,Acris blanchardi,Blanchard's Cricket Frog,70421,amphibia,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Rana grillo del noreste,Blanchard's Cricket Frog,rainette grillon de Blanchard,Blanchard's cricket frog,Blanchard's Cricket Frog,ブランチャードコオロギガエル,Rã-grilo-de-Blanchard,Blanchard's Cricket Frog,布氏蝗蛙,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog,Blanchard's Cricket Frog
61,Acris crepitans,Northern Cricket Frog,24230,amphibia,Щёлкающая квакша,Northern Cricket Frog,rana grillo norteña,rosnička cvrčivá,rainette grillon du nord,Noordelijke krekelkikker,Świerszczka północna,キタコオロギガエル,Rã-grilo-costeira,Northern Cricket Frog,北蝗蛙,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog
62,Acris gryllus,Southern Cricket Frog,24233,amphibia,Сверчковая квакша,Südlicher Grillenfrosch,Rana grillo de Florida,rosnička cvrčkovitá,rainette grillon du sud,Zuidelijke krekelkikker,Świerszczka południowa,ミナミコオロギガエル,Rã-grilo-da-Flórida,Southern Cricket Frog,南蝗蛙,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,蟋蟀雨蛙,Southern Cricket Frog
63,Acritillas indica,Yellow-browed Bulbul,yebbul3,aves,Оливково-жёлтый бюльбюль,Goldbrauenbülbül,Bulbul Cejiamarillo,bulbulčík indický,Bulbul à sourcils d'or,Goudbrauwbuulbuul,szczeciak złotolicy,キマユヒヨドリ,yellow-browed bulbul,bulbul cellagroc,黄眉鹎,Жълтовежд бюлбюл,solbylbyl,gulgrön bulbyl,Gulgrøn Bulbul,bylbyl zlatolíci,Бюльбюль жовточеревий,Sarı Kaşlı Arapbülbülü,intianoliivibulbuli,Žutoobrvasti bulbul,Bulbul cejiamarillo,Bulbul Cejiamarillo,Yellow-browed bulbul,crnokljuni bulbul,Bulbul Cejiamarillo,Geltonbruvis rytinis bulbiulis,بلبل ابروزرد,黃眉鵯,Bwlbwl aelfelyn
64,Acrobates pygmaeus,Narrow-toed Feather-tailed Glider,42715,mammalia,Карликовый летучий кускус,Schmalfuß-Federschwanz-Gleitbeutler,pósum pigmeo acróbata,vakoplšík létavý,Acrobate pygmée,Vliegende Buidelmuis,akrobatka karliczka,チビフクロモモンガ,Gambá-planador-cauda-de-pluma,pòssum pigmeu acròbata,树袋貂,торбест планьор пигмей,Flygepungmus,Dvärgflygpungmus,Narrow-toed Feather-tailed Glider,Vakoplch lietavý,Narrow-toed Feather-tailed Glider,Narrow-toed Feather-tailed Glider,pussiakrobaatti,Патуљаста торбарска летећа веверица,Narrow-toed Feather-tailed Glider,Narrow-toed Feather-tailed Glider,Narrow-toed Feather-tailed Glider,Narrow-toed Feather-tailed Glider,Narrow-toed Feather-tailed Glider,Narrow-toed Feather-tailed Glider,بادپر پردم,树顶袋貂,Narrow-toed Feather-tailed Glider
65,Acrobatornis fonsecai,Pink-legged Graveteiro,pilgra1,aves,Гравитейро,Plantagenschlüpfer,Graveteiro,ostrochvostka růžovonohá,Synallaxe à pattes roses,Acrobaatje,koralonóżek,アクロバットカマドドリ,acrobata,espiner fumat,粉腿针尾雀,Бахианска пещарка,rosenfotgraveteiro,akrobatfågel,Graveteiro,plantážnik kakaovníkový,Кошикороб сірий,Taklacı Sepetören,punajalkaorneero,Brazilski korpar,Graveteiro,Graveteiro,Acrobata,bahijski trnjak,Graveteiro,Raudonkojis krosnius,گورمرغ پاصورتی,粉腿针尾雀,Pink-legged Graveteiro
66,Acrocephalus aequinoctialis,Bokikokiko,chiwar1,aves,Полинезийская камышовка,Kiribatirohrsänger,Carricero de Kiritimati,rákosník kiribatský,Rousserolle de la Ligne,Christmaskarekiet,trzciniak popielaty,クリスマスヨシキリ,kiritimati reed warbler,boscarla de Kiritimati,玻利苇莺,Кирибатско шаварче,bokikokikosanger,kiritimatisångare,Polynesisk Sanger,trsteniarik sivý,Очеретянка попеляста,Kiritimati Kamışçını,linenkerttunen,Trstenjak sa ostrva Kiritimati,Carricero de Kiritimati,Carricero de Kiritimati,Kiritimati reed warbler,sivi trstenjak,Carricero de Kiritimati,Polinezinė nendrinukė,سسک جزیره کریسمس,Bokikokiko,Telor cyrs Polynesia
67,Acrocephalus agricola,Paddyfield Warbler,padwar1,aves,Индийская камышевка,Feldrohrsänger,Carricero Agrícola,rákosník plavý,Rousserolle isabelle,Veldrietzanger,trzcinniczek kaspijski,イナダヨシキリ,felosa-agrícola,boscarla d'arrossar,稻田苇莺,Индийско шаварче,åkersanger,fältsångare,Lille Rørsanger,trsteniarik roľný,Очеретянка індійська,Doğu Kamışçını,kenttäkerttunen,Stepski trstenjak,Carricero agrícola,Carricero Agrícola,Felosa-agrícola,poljski trstenjak,Carricero Agrícola,Indinė nendrinukė,سسک شالیزار,稻田苇莺,Telor padi
68,Acrocephalus arundinaceus,Great Reed Warbler,grrwar1,aves,Дроздовидная камышевка,Drosselrohrsänger,Carricero Tordal,rákosník velký,Rousserolle turdoïde,Grote karekiet,trzciniak,ニシオオヨシキリ,rouxinol-grande-dos-caniços,balquer,大苇莺,Тръстиково шаварче,trostesanger,trastsångare,Drosselrørsanger,trsteniarik veľký,Очеретянка велика,Büyük Kamışçın,rastaskerttunen,Veliki trstenjak,Carricero tordal,Carricero Tordal,Rouxinol-grande-dos-caniços,veliki trstenjak,Carricero Tordal,Didžioji krakšlė,سسک نیزار بزرگ,大苇莺,Telor cyrs mawr
